Compare C:\Projects\Marilo\docs\component-specs with C:\Projects\blazor-docs\components
4/14/2026 9:30:23 AM
Filename,Folder,Comparison Result,Left Date,Right Date,Extension,Differences,Prediffer
wai-aria-support.md,chunkprogressbar\accessibility,Text files are different,* 3/30/2026 2:05:01 PM,  3/29/2026 7:36:44 PM,md,2,
overview.md,chunkprogressbar,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,1,
wai-aria-support.md,colorgradient\accessibility,Text files are different,* 3/30/2026 2:05:01 PM,  3/29/2026 7:36:44 PM,md,3,
overview.md,colorgradient,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,2,
wai-aria-support.md,colorpalette\accessibility,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,1,
events.md,colorpalette,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,2,
overview.md,colorpalette,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,1,
wai-aria-support.md,colorpicker\accessibility,Text files are different,* 3/30/2026 2:07:01 PM,  3/29/2026 7:36:44 PM,md,2,
appearance.md,colorpicker,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,1,
events.md,colorpicker,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,1,
overview.md,colorpicker,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,4,
wai-aria-support.md,combobox\accessibility,Text files are different,* 3/30/2026 2:07:01 PM,  3/29/2026 7:36:44 PM,md,2,
appearance.md,combobox,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,1,
data-bind.md,combobox,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,2,
events.md,combobox,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,4,
overview.md,combobox,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,14,
refresh-data.md,combobox,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,5,
templates.md,combobox,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,4,
virtualization.md,combobox,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,7,
wai-aria-support.md,contextmenu\accessibility,Text files are different,* 3/30/2026 2:05:01 PM,  3/29/2026 7:36:44 PM,md,2,
flat-data.md,contextmenu\data-binding,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,2,
hierarchical-data.md,contextmenu\data-binding,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,1,
overview.md,contextmenu\data-binding,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,3,
icons.md,contextmenu,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,3,
navigation.md,contextmenu,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,1,
overview.md,contextmenu,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,1,
refresh-data.md,contextmenu,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,3,
wai-aria-support.md,dateinput\accessibility,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,1,
appearance.md,dateinput,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,1,
events.md,dateinput,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,4,
keyboard-typing.md,dateinput,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,1,
overview.md,dateinput,Text files are different,* 3/30/2026 2:11:23 PM,  3/29/2026 7:36:44 PM,md,4,
wai-aria-support.md,datepicker\accessibility,Text files are different,* 3/30/2026 2:07:01 PM,  3/29/2026 7:36:44 PM,md,3,
appearance.md,datepicker,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,1,
events.md,datepicker,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,7,
header-template.md,datepicker,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,1,
overview.md,datepicker,Text files are different,* 3/30/2026 2:11:29 PM,  3/29/2026 7:36:44 PM,md,9,
wai-aria-support.md,daterangepicker\accessibility,Text files are different,* 3/30/2026 2:07:01 PM,  3/29/2026 7:36:44 PM,md,3,
appearance.md,daterangepicker,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,1,
events.md,daterangepicker,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,5,
overview.md,daterangepicker,Text files are different,* 3/30/2026 2:11:33 PM,  3/29/2026 7:36:44 PM,md,8,
wai-aria-support.md,datetimepicker\accessibility,Text files are different,* 3/30/2026 2:07:01 PM,  3/29/2026 7:36:44 PM,md,5,
appearance.md,datetimepicker,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,1,
events.md,datetimepicker,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,7,
overview.md,datetimepicker,Text files are different,* 3/30/2026 2:11:38 PM,  3/29/2026 7:36:44 PM,md,8,
connections.md,diagram,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,12,
data-bind.md,diagram,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,22,
events.md,diagram,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,9,
layouts.md,diagram,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,13,
overview.md,diagram,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,17,
shapes.md,diagram,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,12,
wai-aria-support.md,dialog\accessibility,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,1,
events.md,dialog,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,1,
overview.md,dialog,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,2,
